Node,Betweenness_Centrality
107,0.5651826555339092
1684,0.30375565755881984
1085,0.2599659049904836
3437,0.23226957475411011
1912,0.19677040082051578
0,0.14766840143698198
698,0.0957283045961809
58,0.07679498424457332
428,0.05934644863923873
1577,0.05565499386619123
1718,0.05191944425748474
414,0.048916612239832576
567,0.03980896948336167
862,0.03839264221885986
1465,0.037395095299438096
348,0.037276975830728386
686,0.031384296035509386
563,0.02994745927294705
594,0.028643796464040003
3980,0.02580056780397965
136,0.019650078117110763
171,0.013820404607715485
3454,0.012668817358964312
3723,0.010968754957030317
3961,0.01078709568248149
1165,0.010609696338860292
3830,0.00882293887895691
1534,0.007973171119409688
1420,0.007948900403176648
713,0.007784530002483623
1405,0.007044205957298946
2347,0.006913015847267915
2543,0.006496521943659454
483,0.0062365884573367236
475,0.006012263363556516
1687,0.005513478466116609
1666,0.00533871165946553
745,0.00492675961706591
1505,0.004889347913868489
34,0.0047366455918326795
805,0.004418903820798266
2047,0.004410501018753895
1941,0.003643027848627672
703,0.0036247648437497653
697,0.003542948617178932
830,0.003419121995874672
2542,0.003353278017213626
376,0.0033236699640607015
3861,0.0031264385606025232
484,0.003008107874082603
3756,0.002954664902726625
198,0.002881401947477223
2468,0.002861814719615603
3495,0.002850743332985393
637,0.0027755635657613353
596,0.002752098274096799
353,0.0025949673459614393
566,0.002588717916361736
3877,0.00251969063587563
3633,0.0024376180284256125
517,0.0024331977371980468
119,0.0024104988952395384
1361,0.002386012266100715
526,0.002324073831937292
3851,0.00230791769282698
1758,0.0022570511479390776
363,0.00223680190695452
1656,0.0021492515909598293
803,0.002146488626262859
3948,0.0021252784366057593
1642,0.0021076771424286904
3677,0.002095788270593737
4031,0.0020375220765114404
373,0.002021248767174945
366,0.002015978366273446
2007,0.0019280564269397256
2189,0.0018445943986908277
990,0.0018036553192794116
538,0.0017842265508473609
606,0.0017261427934701845
810,0.0017155304578720262
1835,0.001699448298708788
1954,0.0016048442149459439
819,0.0015834280118713637
173,0.0015611246530737365
2199,0.001504741782929272
56,0.0015024246844430019
1663,0.0014952156097419805
3577,0.0014697032380221768
322,0.0014385773785003044
3525,0.001435950502187947
1536,0.0014132943277485176
651,0.001411579123043927
412,0.0013729287777448842
2133,0.0013681193820606593
1098,0.0013420097995523101
3962,0.0013418866160335137
2143,0.0013216684571382966
1317,0.0013191782121283822
2283,0.001318528933153725
3440,0.0013095307217593983
2313,0.0012991182103286956
1126,0.0012892293623153193
1352,0.0012878817018036127
2117,0.0012739198522828718
1450,0.0012561560426957315
1070,0.0012523358718143692
800,0.0012495398552929333
3101,0.0012108398816024328
840,0.001178930351350046
3604,0.0011745758194259828
2268,0.001151323074593577
1419,0.0011470782812425253
420,0.0011363655802346681
3521,0.0011201310854609871
3173,0.0010995950351451102
2384,0.0010935105917330048
708,0.001087467319672061
3540,0.0010516745500573127
1074,0.0010464529007237525
3019,0.0010410183808646854
2642,0.0010351913363139678
2289,0.0010185814863902824
798,0.0010174687250831967
3550,0.0010063230123520818
1621,0.0010050442170684364
925,0.000996576905787466
3651,0.0009921575602190313
21,0.0009873858290831033
1726,0.000986849835743456
1289,0.0009759392860167062
1086,0.0009679054662941527
1483,0.0009632535544241237
3872,0.0009510857307336068
1193,0.0009416280734958999
856,0.0009356548222868594
818,0.0009295177337156895
419,0.0009247552780399891
422,0.000906867741848908
1376,0.0009023688312232707
67,0.0008978627184637441
1522,0.000889819166656544
3750,0.0008852624330278509
3721,0.0008788915848213465
3442,0.000870471607083102
2038,0.0008673080141750127
1926,0.0008563967033205629
1338,0.000846054546625294
2325,0.0008459384065563716
3556,0.000840309447148289
641,0.0008222670128640731
3263,0.0008030063522010797
497,0.0007895213419848272
1509,0.0007875949295687527
2333,0.000765142919996003
601,0.0007503727443686931
122,0.0007499003248439332
2668,0.0007467911362563541
1593,0.0007414281916960303
2111,0.0007393156242971167
2398,0.0007336430266151306
513,0.0007295722899693871
389,0.0007249787194495447
